PlayerHand,DealerVisibleCard,Hit,Stick
8 6,10,8,5
8 6 1,10,1,0
5 8,5,4,1
1 4,4,3,0
1 4 10,4,0,2
10 4,6,2,10
3 10,9,12,8
4 10,7,8,17
4 10 3,7,0,1
7 2,9,6,0
7 2 10,9,0,2
1 3,7,9,0
1 3 10,7,0,2
8 1,10,9,13
8 1 6,10,1,1
3 6,10,30,0
3 6 1,10,0,2
8 10,10,26,43
7 5,9,6,0
7 5 8,9,0,1
10 5,4,0,20
7 1,6,0,5
10 1,9,0,17
4 1,1,3,0
4 1 8,1,1,0
2 6,10,17,0
2 6 10,10,2,3
10 2,5,9,12
2 10,3,19,3
2 10 4,3,0,1
9 10,10,18,62
7 7,10,5,7
3 5,6,3,0
3 5 6,6,1,0
3 5 6 2,6,0,1
2 1,6,7,0
2 1 5,6,1,0
2 1 5 1,6,0,1
4 8,10,14,0
4 8 7,10,0,2
2 9,1,4,1
2 9 4,1,0,1
9 7,5,0,11
2 4,7,8,0
2 4 10,7,2,5
10 7,2,0,20
10 5,10,43,39
8 4,7,3,0
8 4 4,7,1,0
8 10 3,10,0,3
2 2,10,17,0
2 2 10,10,2,6
3 3,5,2,0
3 3 2,5,1,0
3 3 2 9,5,1,0
2 10,6,18,5
10 4,5,4,10
9 6,7,3,4
10 1,10,0,70
2 10,8,10,5
10 9,10,14,56
1 10,8,0,22
2 10 4,8,0,2
7 6,7,3,0
7 6 1,7,1,1
10 10,8,0,69
3 2,2,5,0
3 2 6,2,1,0
3 2 6 1,2,1,0
3 2 6 1 9,2,0,1
3 5,4,9,0
3 5 10,4,0,3
7 6,10,12,4
7 6 7,10,0,3
7 10,8,2,8
1 2,9,4,0
1 2 8,9,0,1
1 1,10,21,0
1 1 10,10,7,1
1 1 10 3,10,1,0
1 1 10 3 5,10,0,1
6 9,9,1,2
6 9 3,9,1,0
9 6,5,0,12
10 2,10,62,21
5 4,10,18,0
5 4 8,10,1,3
5 4 8 1,10,1,0
4 10,2,11,11
6 2,8,11,0
6 2 2,8,1,0
6 2 2 7,8,1,0
1 9,6,0,3
3 10,10,47,24
7 10,3,1,27
10 7,10,43,40
10 1,4,0,10
10 7,4,0,19
2 10 7,8,0,2
5 3,9,11,0
5 3 10,9,0,1
9 3,8,8,0
9 3 1,8,1,0
9 3 1 2,8,1,0
9 3 1 2 1,8,1,0
9 3 1 2 1 1,8,0,1
10 2 8,10,1,4
7 10,9,8,6
10 10,3,0,69
5 10,4,2,24
8 6,8,3,1
4 9,4,2,1
10 7 3,10,0,3
2 1 10,6,4,0
2 1 10 5,6,0,1
10 2,9,14,5
10 2 3,9,1,0
10 2 3 5,9,0,1
10 8,1,4,19
7 10,6,0,25
1 10,2,0,15
7 10,10,32,34
7 10 3,10,0,5
10 2 1,10,3,0
7 5,2,5,0
7 5 4,2,1,0
5 4,6,6,0
5 4 10,6,0,4
9 4,4,0,6
9 8,8,0,5
3 8,10,14,0
3 8 9,10,0,1
1 10,5,0,19
7 6,2,3,2
7 6 3,2,1,0
2 1,8,8,0
2 1 7,8,0,2
2 10,10,67,14
10 10,5,0,80
10 8,6,0,11
1 7,4,2,3
1 7 10,4,0,2
9 9,5,0,4
8 10,1,10,12
8 10 3,1,0,1
10 10,2,0,72
9 5,8,5,2
7 6,4,6,2
7 6 1,4,0,1
2 2 1,10,2,0
2 2 1 1,10,1,0
2 2 1 1 4,10,1,0
2 2 1 1 4 6,10,1,0
2 2 1 1 4 6 2,10,0,1
10 3,8,14,6
10 3 7,8,0,1
8 9,10,11,8
3 10 5,9,0,4
5 10,10,39,39
10 10,4,0,75
2 9,10,15,0
2 9 5,10,1,0
6 10,6,3,11
9 5,3,2,7
10 1,3,0,20
5 4,2,5,0
5 4 10,2,0,2
10 8,10,29,35
6 3,10,21,0
6 3 10,10,2,1
10 10,9,0,90
1 10,10,2,67
7 9,7,1,3
4 1,9,4,0
4 1 10,9,2,1
10 10,10,2,237
10 3,2,9,10
6 2,10,19,0
6 2 6,10,2,0
6 10,10,32,41
9 4,10,11,5
4 8,1,6,0
4 8 5,1,3,0
1 1 7,10,1,1
1 1 7 3,10,1,0
4 10,5,10,18
5 1,10,19,0
5 1 10,10,3,1
6 1,10,25,0
6 1 8,10,2,0
6 1 8 2,10,1,0
10 4,7,13,12
3 7,10,25,0
3 7 6,10,2,2
3 2,3,5,0
3 2 8,3,1,0
2 10 3,3,0,2
8 9,9,3,2
2 5,5,3,0
2 5 8,5,0,1
9 1,7,0,6
5 3,10,18,0
5 3 7,10,2,0
3 1,10,26,0
3 1 10,10,5,1
3 1 10 6,10,0,1
6 10,7,3,12
4 2,8,4,0
4 2 6,8,1,0
10 1,2,0,22
8 8,4,0,5
10 6,5,0,18
6 5,10,24,0
6 5 10,10,0,11
2 10,9,13,2
2 10 1,9,0,1
9 1,10,0,25
10 6,10,27,38
4 7,2,6,0
4 7 3,2,1,1
10 10,7,0,63
5 10,2,14,11
5 10 3,2,0,2
10 9,1,5,16
10 2 4,9,2,0
3 5,3,5,0
3 5 1,3,0,3
10 3,10,45,17
9 8,10,10,19
8 2,6,2,0
8 2 4,6,1,0
8 2 4 2,6,0,1
5 5,4,5,0
5 5 8,4,0,1
10 3 8,10,0,5
9 1,4,0,8
10 7,6,0,27
9 9,10,3,6
5 10,1,9,5
5 10 1,1,2,0
3 6,6,1,0
3 6 4,6,1,0
4 8,4,3,0
3 1,5,9,0
3 1 9,5,1,0
