Game,PlayerFinalHandSum,DealerFinalHandSum,PlayerNumCards,DealerNumCards,DealerVisibleCard,PlayerActions,PlayerHandProgression,Outcome
1,23,18,4,2,10,Hit Hit,14 15,Loss
2,23,14,3,2,5,Hit,13,Loss
3,15,19,3,3,4,Hit Stick,15 15,Loss
4,14,21,2,3,6,Stick,14,Loss
5,13,25,2,3,9,Stick,13,Win
6,17,17,3,2,7,Hit Stick,14 17,Draw
7,19,19,3,2,9,Hit Stick,9 19,Draw
8,14,24,3,3,7,Hit Stick,14 14,Win
9,15,17,3,3,10,Hit Stick,19 15,Loss
10,20,17,3,3,10,Hit Stick,9 20,Win
11,18,23,2,3,10,Stick,18,Win
12,20,18,3,4,9,Hit Stick,12 20,Win
13,15,23,2,3,4,Stick,15,Win
14,18,26,2,3,6,Stick,18,Win
15,21,19,2,2,9,Stick,21,Win
16,22,18,4,2,1,Hit Hit,15 13,Loss
17,18,23,3,3,10,Hit Stick,8 18,Win
18,12,20,2,3,5,Stick,12,Loss
19,16,23,3,3,3,Hit Stick,12 16,Win
20,19,26,2,3,10,Stick,19,Win
21,23,18,3,2,10,Hit,14,Loss
22,16,20,4,3,6,Hit Hit Stick,8 14 16,Loss
23,19,21,4,3,6,Hit Hit Stick,13 18 19,Loss
24,19,20,3,2,10,Hit Stick,12 19,Loss
25,15,21,3,4,1,Hit Stick,11 15,Loss
26,16,25,2,3,5,Stick,16,Win
27,16,18,3,3,7,Hit Stick,6 16,Loss
28,17,25,2,4,2,Stick,17,Win
29,23,18,3,2,10,Hit,15,Loss
30,23,18,4,2,7,Hit Hit,12 16,Loss
31,21,20,3,2,10,Hit Stick,18 21,Win
32,24,20,4,2,10,Hit Hit,4 14,Loss
33,27,13,5,2,5,Hit Hit Hit,6 8 17,Loss
34,12,25,2,3,6,Stick,12,Win
35,14,26,2,4,5,Stick,14,Win
36,15,24,2,3,7,Stick,15,Win
37,21,21,2,3,10,Stick,21,Draw
38,12,19,2,3,8,Stick,12,Loss
39,19,17,2,3,10,Stick,19,Win
40,21,18,2,2,8,Stick,21,Win
41,16,18,3,2,8,Hit Stick,12 16,Loss
42,14,17,3,3,7,Hit Stick,13 14,Loss
43,20,18,2,2,8,Stick,20,Win
44,21,20,5,4,2,Hit Hit Hit Stick,5 11 12 21,Win
45,18,22,3,3,4,Hit Stick,8 18,Win
46,20,17,3,3,10,Hit Stick,13 20,Win
47,27,18,3,2,8,Hit,17,Loss
48,21,25,3,4,9,Hit Stick,13 21,Win
49,20,18,5,2,10,Hit Hit Hit Stick,12 12 15 20,Win
50,22,19,4,2,9,Hit Hit,15 18,Loss
51,15,25,2,3,5,Stick,15,Win
52,22,18,3,2,10,Hit,12,Loss
53,27,20,5,2,10,Hit Hit Hit,9 17 18,Loss
54,14,18,2,3,2,Stick,14,Loss
55,24,17,5,2,8,Hit Hit Hit,8 10 17,Loss
56,20,18,2,3,6,Stick,20,Win
57,13,19,2,4,10,Stick,13,Loss
58,17,18,2,3,3,Stick,17,Loss
59,27,20,3,2,10,Hit,17,Loss
60,21,26,2,4,4,Stick,21,Win
61,17,23,2,3,4,Stick,17,Win
62,19,20,3,3,8,Hit Stick,12 19,Loss
63,15,19,2,3,10,Stick,15,Loss
64,18,18,3,3,9,Hit Stick,8 18,Draw
65,17,18,6,2,8,Hit Hit Hit Hit Stick,12 13 15 16 17,Loss
66,15,19,2,3,10,Stick,15,Loss
67,25,20,4,2,10,Hit Hit,12 20,Loss
68,17,19,2,2,9,Stick,17,Loss
69,20,21,2,4,3,Stick,20,Loss
70,15,23,2,5,4,Stick,15,Win
71,24,19,3,2,8,Hit,14,Loss
72,23,6,3,2,4,Hit,13,Loss
73,14,22,2,4,2,Stick,14,Win
74,20,18,3,2,10,Hit Stick,17 20,Win
75,18,18,4,3,6,Hit Hit Stick,13 13 18,Draw
76,20,19,4,2,9,Hit Hit Stick,12 15 20,Win
77,18,19,2,3,1,Stick,18,Loss
78,17,20,2,3,6,Stick,17,Loss
79,17,22,2,3,4,Stick,17,Win
80,21,26,2,5,2,Stick,21,Win
81,20,20,3,2,10,Hit Stick,17 20,Draw
82,23,17,4,2,10,Hit Hit,12 13,Loss
83,22,8,4,2,2,Hit Hit,12 16,Loss
84,19,24,3,3,6,Hit Stick,9 19,Win
85,13,23,2,3,4,Stick,13,Win
