Game,PlayerFinalHandSum,DealerFinalHandSum,PlayerNumCards,DealerNumCards,DealerVisibleCard,PlayerActions,PlayerHandProgression,Outcome
1,15,17,2,3,10,Stick,15,Loss
2,21,22,3,3,2,Hit Stick,11 21,Win
3,17,20,3,4,3,Hit Stick,17 17,Loss
4,15,17,3,2,8,Hit Stick,7 15,Loss
5,20,18,3,4,2,Hit Stick,13 20,Win
6,21,24,3,3,5,Hit Stick,21 21,Win
7,14,19,2,2,10,Stick,14,Loss
8,14,18,3,3,4,Hit Stick,6 14,Loss
9,18,18,3,3,1,Hit Stick,12 18,Draw
10,19,20,2,3,4,Stick,19,Loss
11,15,18,2,2,10,Stick,15,Loss
12,17,21,2,2,10,Stick,17,Loss
13,21,26,3,5,2,Hit Stick,12 21,Win
14,19,19,2,4,4,Stick,19,Draw
15,19,22,2,4,4,Stick,19,Win
16,22,21,3,2,10,Hit,13,Loss
17,17,21,4,2,10,Hit Hit Stick,21 15 17,Loss
18,20,18,2,3,10,Stick,20,Win
19,18,19,2,2,10,Stick,18,Loss
20,16,18,3,2,8,Hit Stick,11 16,Loss
21,14,23,2,4,9,Stick,14,Win
22,17,22,3,4,4,Hit Stick,12 17,Win
23,14,20,2,3,10,Stick,14,Loss
24,18,23,4,3,6,Hit Hit Stick,14 18 18,Win
25,19,21,2,2,10,Stick,19,Loss
26,16,19,2,2,1,Stick,16,Loss
27,21,20,3,2,10,Hit Stick,12 21,Win
28,21,23,3,4,8,Hit Stick,11 21,Win
29,23,12,4,2,10,Hit Hit,6 13,Loss
30,21,21,3,2,1,Hit Stick,11 21,Draw
31,18,20,2,2,10,Stick,18,Loss
32,18,20,4,2,10,Hit Hit Stick,6 12 18,Loss
33,17,25,2,3,10,Stick,17,Win
34,20,21,4,3,7,Hit Hit Stick,19 12 20,Loss
35,18,24,2,3,10,Stick,18,Win
36,17,20,4,2,10,Hit Hit Stick,5 8 17,Loss
37,16,20,2,3,4,Stick,16,Loss
38,15,20,3,5,2,Hit Stick,12 15,Loss
39,20,22,2,4,2,Stick,20,Win
40,17,24,3,3,4,Hit Stick,21 17,Win
41,15,21,3,2,1,Hit Stick,12 15,Loss
42,13,19,2,2,1,Stick,13,Loss
43,19,19,3,2,9,Hit Stick,19 19,Draw
44,13,21,4,3,6,Hit Hit Stick,8 19 13,Loss
45,16,19,3,3,7,Hit Stick,13 16,Loss
46,20,23,2,3,3,Stick,20,Win
47,17,17,2,4,4,Stick,17,Draw
48,14,18,2,2,8,Stick,14,Loss
49,15,21,2,2,1,Stick,15,Loss
50,18,26,3,3,6,Hit Stick,18 18,Win
51,18,19,2,2,10,Stick,18,Loss
52,16,23,3,3,7,Hit Stick,12 16,Win
53,20,21,4,4,3,Hit Hit Stick,16 20 20,Loss
54,24,8,3,2,6,Hit,15,Loss
55,19,20,3,2,10,Hit Stick,12 19,Loss
56,14,23,3,4,10,Hit Stick,15 14,Win
57,14,23,2,4,8,Stick,14,Win
58,18,20,4,3,6,Hit Hit Stick,14 21 18,Loss
59,16,17,3,2,9,Hit Stick,12 16,Loss
60,20,17,2,3,10,Stick,20,Win
61,14,18,3,2,10,Hit Stick,21 14,Loss
62,16,19,3,2,9,Hit Stick,9 16,Loss
63,18,25,2,3,5,Stick,18,Win
64,15,25,2,6,2,Stick,15,Win
65,22,7,4,2,2,Hit Hit,21 12,Loss
66,19,18,2,3,2,Stick,19,Win
67,14,23,2,3,6,Stick,14,Win
68,16,19,2,2,10,Stick,16,Loss
69,22,17,3,2,10,Hit,13,Loss
70,21,20,3,3,7,Hit Stick,11 21,Win
71,19,20,3,4,4,Hit Stick,13 19,Loss
72,21,23,4,3,7,Hit Hit Stick,6 11 21,Win
73,21,22,3,3,8,Hit Stick,21 21,Win
74,24,7,4,2,4,Hit Hit,13 14,Loss
75,14,25,2,4,10,Stick,14,Win
76,18,24,4,4,2,Hit Hit Stick,21 12 18,Win
77,23,13,3,2,3,Hit,13,Loss
78,17,19,2,3,3,Stick,17,Loss
79,17,17,3,3,4,Hit Stick,17 17,Draw
80,20,17,3,2,7,Hit Stick,12 20,Win
81,21,20,3,3,7,Hit Stick,11 21,Win
82,14,21,2,2,1,Stick,14,Loss
83,20,22,2,3,8,Stick,20,Win
84,16,19,3,3,9,Hit Stick,12 16,Loss
85,23,11,3,2,9,Hit,13,Loss
86,14,22,2,3,10,Stick,14,Win
87,17,20,2,2,10,Stick,17,Loss
88,16,24,2,3,8,Stick,16,Win
89,15,20,2,4,2,Stick,15,Loss
90,18,23,2,3,3,Stick,18,Win
91,19,20,3,2,10,Hit Stick,21 19,Loss
92,22,14,3,2,1,Hit,13,Loss
93,12,18,3,6,2,Hit Stick,17 12,Loss
94,20,24,2,3,10,Stick,20,Win
95,15,20,2,2,10,Stick,15,Loss
96,15,25,3,3,8,Hit Stick,9 15,Win
97,19,22,4,3,10,Hit Hit Stick,19 14 19,Win
98,18,18,3,3,9,Hit Stick,21 18,Draw
99,20,20,4,2,10,Hit Hit Stick,6 12 20,Draw
100,16,22,3,5,2,Hit Stick,11 16,Win
101,22,20,3,2,10,Hit,12,Loss
102,20,20,2,3,7,Stick,20,Draw
103,19,20,3,2,10,Hit Stick,12 19,Loss
104,13,22,2,3,4,Stick,13,Win
105,20,23,4,3,9,Hit Hit Stick,15 20 20,Win
106,13,26,4,3,10,Hit Hit Stick,6 12 13,Win
107,16,17,3,2,7,Hit Stick,8 16,Loss
108,18,18,2,4,1,Stick,18,Draw
109,19,19,3,2,10,Hit Stick,9 19,Draw
110,21,17,3,4,6,Hit Stick,21 21,Win
111,22,20,3,2,10,Hit,12,Loss
112,17,18,3,2,10,Hit Stick,14 17,Loss
113,19,21,3,3,10,Hit Stick,12 19,Loss
114,19,20,3,3,3,Hit Stick,21 19,Loss
115,20,21,4,2,10,Hit Hit Stick,9 20 20,Loss
116,17,23,3,4,7,Hit Stick,17 17,Win
117,18,18,4,2,8,Hit Hit Stick,9 12 18,Draw
118,15,23,2,3,9,Stick,15,Win
119,24,8,3,2,4,Hit,14,Loss
120,20,18,2,2,10,Stick,20,Win
121,20,25,2,3,10,Stick,20,Win
122,17,20,3,2,10,Hit Stick,7 17,Loss
123,20,17,3,2,8,Hit Stick,10 20,Win
124,19,25,2,3,8,Stick,19,Win
125,14,20,5,2,10,Hit Hit Hit Stick,13 17 18 14,Loss
126,19,26,2,4,6,Stick,19,Win
127,23,5,3,2,2,Hit,13,Loss
128,14,20,2,3,5,Stick,14,Loss
129,13,25,3,3,10,Hit Stick,9 13,Win
130,16,17,3,5,1,Hit Stick,16 16,Loss
131,15,20,3,2,10,Hit Stick,13 15,Loss
132,20,22,2,3,3,Stick,20,Win
133,19,22,4,4,3,Hit Hit Stick,21 12 19,Win
134,23,8,3,2,6,Hit,14,Loss
135,15,26,2,3,10,Stick,15,Win
136,20,18,2,2,10,Stick,20,Win
137,20,18,2,3,2,Stick,20,Win
138,17,18,2,3,7,Stick,17,Loss
139,19,18,2,2,10,Stick,19,Win
140,17,17,3,2,6,Hit Stick,14 17,Draw
141,20,18,2,3,3,Stick,20,Win
142,16,19,4,3,8,Hit Hit Stick,16 12 16,Loss
143,21,17,4,2,7,Hit Hit Stick,8 11 21,Win
144,13,24,3,3,4,Hit Stick,10 13,Win
145,15,20,2,3,5,Stick,15,Loss
146,19,17,3,2,7,Hit Stick,9 19,Win
147,18,18,3,4,1,Hit Stick,8 18,Draw
148,18,18,3,2,1,Hit Stick,13 18,Draw
149,23,20,3,2,10,Hit,13,Loss
150,20,19,2,2,8,Stick,20,Win
151,16,20,3,3,8,Hit Stick,17 16,Loss
152,18,21,3,3,1,Hit Stick,8 18,Loss
153,14,23,2,3,4,Stick,14,Win
154,19,17,3,2,10,Hit Stick,11 19,Win
155,17,21,2,3,3,Stick,17,Loss
156,17,24,3,3,10,Hit Stick,12 17,Win
157,16,20,2,2,9,Stick,16,Loss
158,19,22,2,3,2,Stick,19,Win
159,20,17,2,3,2,Stick,20,Win
160,20,18,2,2,9,Stick,20,Win
161,16,17,3,4,4,Hit Stick,13 16,Loss
162,14,26,4,3,6,Hit Hit Stick,10 12 14,Win
163,20,20,3,2,10,Hit Stick,10 20,Draw
164,20,18,2,2,1,Stick,20,Win
165,21,20,3,4,3,Hit Stick,13 21,Win
166,19,21,3,2,10,Hit Stick,19 19,Loss
167,16,17,2,2,10,Stick,16,Loss
168,15,19,2,3,2,Stick,15,Loss
169,15,25,3,3,10,Hit Stick,9 15,Win
170,17,23,3,3,9,Hit Stick,7 17,Win
171,14,18,3,3,5,Hit Stick,13 14,Loss
172,22,10,3,2,7,Hit,12,Loss
173,14,19,3,2,1,Hit Stick,12 14,Loss
174,17,21,2,3,3,Stick,17,Loss
175,22,15,3,2,6,Hit,13,Loss
176,18,19,3,4,3,Hit Stick,21 18,Loss
177,13,17,4,3,8,Hit Hit Stick,14 18 13,Loss
178,18,19,2,3,2,Stick,18,Loss
179,16,26,2,4,4,Stick,16,Win
180,16,17,2,2,7,Stick,16,Loss
181,14,17,2,2,10,Stick,14,Loss
182,13,25,2,3,10,Stick,13,Win
183,14,19,2,3,9,Stick,14,Loss
184,14,23,2,4,9,Stick,14,Win
185,16,18,2,3,10,Stick,16,Loss
186,16,18,2,2,10,Stick,16,Loss
187,14,21,3,2,1,Hit Stick,10 14,Loss
188,14,18,3,2,10,Hit Stick,7 14,Loss
189,14,25,2,4,4,Stick,14,Win
190,16,23,2,4,2,Stick,16,Win
191,20,19,5,2,9,Hit Hit Hit Stick,14 18 13 20,Win
192,18,25,2,3,5,Stick,18,Win
193,19,17,3,4,6,Hit Stick,12 19,Win
194,15,23,2,4,5,Stick,15,Win
195,17,26,2,3,10,Stick,17,Win
196,16,23,3,4,3,Hit Stick,8 16,Win
197,19,21,2,2,10,Stick,19,Loss
198,14,19,2,3,2,Stick,14,Loss
199,24,18,3,2,10,Hit,14,Loss
200,20,23,4,4,4,Hit Hit Stick,8 10 20,Win
201,18,22,3,3,3,Hit Stick,12 18,Win
202,19,22,5,3,3,Hit Hit Hit Stick,13 14 14 19,Win
203,20,22,2,3,5,Stick,20,Win
204,15,17,2,2,7,Stick,15,Loss
205,15,18,6,4,5,Hit Hit Hit Hit Stick,14 15 20 14 15,Loss
206,19,18,3,2,8,Hit Stick,13 19,Win
207,20,25,3,3,9,Hit Stick,12 20,Win
208,16,22,2,3,7,Stick,16,Win
209,19,23,2,3,10,Stick,19,Win
210,20,21,2,2,1,Stick,20,Loss
211,17,23,3,5,2,Hit Stick,14 17,Win
212,22,15,3,2,10,Hit,12,Loss
213,15,17,2,2,10,Stick,15,Loss
214,21,24,4,3,6,Hit Hit Stick,6 11 21,Win
215,14,25,2,3,6,Stick,14,Win
216,20,19,3,4,4,Hit Stick,10 20,Win
217,19,18,2,2,8,Stick,19,Win
218,16,22,2,3,3,Stick,16,Win
219,18,21,3,4,2,Hit Stick,18 18,Loss
220,14,17,2,2,8,Stick,14,Loss
221,15,21,3,3,2,Hit Stick,12 15,Loss
222,20,20,2,3,5,Stick,20,Draw
223,20,22,3,3,8,Hit Stick,21 20,Win
224,15,18,2,3,10,Stick,15,Loss
225,17,22,2,3,6,Stick,17,Win
226,16,25,2,4,4,Stick,16,Win
227,19,17,2,2,9,Stick,19,Win
228,15,18,2,4,2,Stick,15,Loss
229,21,19,3,3,3,Hit Stick,21 21,Win
230,13,18,4,2,10,Hit Hit Stick,15 19 13,Loss
231,15,21,2,3,5,Stick,15,Loss
232,21,19,3,4,10,Hit Stick,13 21,Win
233,16,23,2,3,10,Stick,16,Win
234,15,20,2,4,1,Stick,15,Loss
235,17,18,3,3,5,Hit Stick,7 17,Loss
236,15,19,3,2,1,Hit Stick,21 15,Loss
237,23,20,3,2,9,Hit,13,Loss
238,20,17,2,2,10,Stick,20,Win
239,22,15,4,2,7,Hit Hit,14 12,Loss
240,17,19,2,2,8,Stick,17,Loss
241,12,24,2,4,3,Stick,12,Win
242,22,15,3,2,6,Hit,12,Loss
243,14,20,2,4,3,Stick,14,Loss
244,20,22,3,4,5,Hit Stick,10 20,Win
245,15,19,2,2,9,Stick,15,Loss
246,20,20,4,3,5,Hit Hit Stick,14 20 20,Draw
247,19,22,2,3,7,Stick,19,Win
248,18,20,2,3,4,Stick,18,Loss
249,17,24,3,3,6,Hit Stick,8 17,Win
250,23,20,4,2,10,Hit Hit,13 13,Loss
251,17,20,2,2,10,Stick,17,Loss
252,19,18,2,3,4,Stick,19,Win
253,19,23,4,3,10,Hit Hit Stick,5 10 19,Win
254,23,20,3,2,10,Hit,13,Loss
255,21,18,5,3,8,Hit Hit Hit Stick,16 19 12 21,Win
256,16,20,2,2,10,Stick,16,Loss
257,14,18,2,2,8,Stick,14,Loss
258,17,20,2,4,1,Stick,17,Loss
259,16,20,3,2,10,Hit Stick,14 16,Loss
260,15,24,2,4,1,Stick,15,Win
261,16,26,2,4,10,Stick,16,Win
262,18,20,3,2,10,Hit Stick,13 18,Loss
263,14,19,3,2,9,Hit Stick,13 14,Loss
264,15,17,2,3,3,Stick,15,Loss
265,16,23,2,3,9,Stick,16,Win
266,14,23,3,3,5,Hit Stick,4 14,Win
267,17,20,2,3,4,Stick,17,Loss
268,16,22,2,3,8,Stick,16,Win
269,20,17,2,3,10,Stick,20,Win
270,20,19,2,2,9,Stick,20,Win
271,15,26,3,4,7,Hit Stick,15 15,Win
272,19,17,2,2,7,Stick,19,Win
273,17,20,3,2,1,Hit Stick,7 17,Loss
274,23,14,3,2,3,Hit,13,Loss
275,16,24,3,3,10,Hit Stick,13 16,Win
276,21,18,3,3,2,Hit Stick,11 21,Win
277,14,18,3,4,3,Hit Stick,13 14,Loss
278,14,22,3,3,5,Hit Stick,10 14,Win
279,17,21,3,2,10,Hit Stick,21 17,Loss
280,18,25,2,3,10,Stick,18,Win
281,19,23,2,3,7,Stick,19,Win
282,17,18,2,2,8,Stick,17,Loss
283,21,20,3,3,7,Hit Stick,21 21,Win
284,16,20,4,2,10,Hit Hit Stick,17 20 16,Loss
285,13,24,2,3,5,Stick,13,Win
286,16,20,3,2,10,Hit Stick,14 16,Loss
287,19,20,2,4,2,Stick,19,Loss
288,14,20,3,2,10,Hit Stick,8 14,Loss
289,15,18,2,3,5,Stick,15,Loss
290,19,24,3,5,5,Hit Stick,9 19,Win
291,17,24,2,4,1,Stick,17,Win
292,18,20,4,3,6,Hit Hit Stick,7 9 18,Loss
293,21,22,3,5,5,Hit Stick,21 21,Win
294,19,18,2,2,10,Stick,19,Win
295,15,19,3,2,10,Hit Stick,14 15,Loss
296,16,23,2,3,5,Stick,16,Win
297,15,21,5,3,8,Hit Hit Hit Stick,12 14 12 15,Loss
298,20,22,2,4,6,Stick,20,Win
299,12,20,2,2,1,Stick,12,Loss
300,14,17,2,2,7,Stick,14,Loss
301,19,23,2,3,10,Stick,19,Win
302,21,17,3,2,10,Hit Stick,11 21,Win
303,18,20,4,3,10,Hit Hit Stick,11 13 18,Loss
304,14,21,3,2,1,Hit Stick,11 14,Loss
305,17,17,2,2,9,Stick,17,Draw
306,17,26,3,3,10,Hit Stick,10 17,Win
307,23,17,4,2,6,Hit Hit,13 15,Loss
308,20,20,2,2,10,Stick,20,Draw
309,16,22,2,4,5,Stick,16,Win
310,14,19,2,4,10,Stick,14,Loss
311,15,20,2,2,10,Stick,15,Loss
312,20,23,3,4,4,Hit Stick,13 20,Win
313,22,13,3,2,1,Hit,12,Loss
314,16,20,3,2,10,Hit Stick,21 16,Loss
315,19,17,2,4,6,Stick,19,Win
316,20,21,2,3,4,Stick,20,Loss
317,18,18,2,4,4,Stick,18,Draw
318,19,17,2,4,8,Stick,19,Win
319,19,26,2,5,10,Stick,19,Win
320,24,17,3,2,1,Hit,14,Loss
321,17,17,2,2,7,Stick,17,Draw
322,15,20,2,3,10,Stick,15,Loss
323,18,19,2,3,2,Stick,18,Loss
324,18,21,4,3,6,Hit Hit Stick,7 11 18,Loss
325,18,17,3,3,10,Hit Stick,12 18,Win
326,20,20,2,2,10,Stick,20,Draw
327,17,20,2,2,10,Stick,17,Loss
328,14,24,2,4,5,Stick,14,Win
329,15,18,2,2,1,Stick,15,Loss
330,14,18,3,2,8,Hit Stick,21 14,Loss
331,20,18,2,3,2,Stick,20,Win
332,19,19,3,4,3,Hit Stick,13 19,Draw
333,19,18,4,2,8,Hit Hit Stick,8 10 19,Win
334,14,18,4,2,10,Hit Hit Stick,13 14 14,Loss
335,20,21,3,3,6,Hit Stick,12 20,Loss
336,14,22,2,3,6,Stick,14,Win
337,15,17,2,2,10,Stick,15,Loss
338,19,20,4,2,10,Hit Hit Stick,5 10 19,Loss
339,19,17,2,3,10,Stick,19,Win
