Game,PlayerFinalHandSum,DealerFinalHandSum,PlayerNumCards,DealerNumCards,DealerVisibleCard,PlayerActions,PlayerHandProgression,Outcome
1,17,24,3,6,4,Hit Stick,9 17,Win
2,16,20,2,4,3,Stick,16,Loss
3,18,20,2,2,9,Stick,18,Loss
4,26,19,4,2,9,Hit Hit,8 16,Loss
5,20,20,2,2,10,Stick,20,Draw
6,16,26,2,3,10,Stick,16,Win
7,22,19,4,2,10,Hit Hit,10 17,Loss
8,16,26,4,3,10,Hit Hit Stick,11 12 16,Win
9,17,17,2,4,3,Stick,17,Draw
10,20,22,2,3,3,Stick,20,Win
11,17,24,2,3,5,Stick,17,Win
12,26,20,4,2,10,Hit Hit,8 18,Loss
13,14,17,2,2,10,Stick,14,Loss
14,14,22,2,4,8,Stick,14,Win
15,14,21,4,4,5,Hit Hit Stick,8 12 14,Loss
16,13,26,2,3,10,Stick,13,Win
17,22,19,4,2,10,Hit Hit,17 17,Loss
18,17,17,2,3,7,Stick,17,Draw
19,20,20,3,2,9,Hit Stick,13 20,Draw
20,23,20,3,2,10,Hit,13,Loss
21,18,23,2,4,9,Stick,18,Win
22,15,17,4,4,2,Hit Hit Stick,5 8 15,Loss
23,21,23,3,3,3,Hit Stick,13 21,Win
24,16,19,2,3,6,Stick,16,Loss
25,20,20,3,2,10,Hit Stick,11 20,Draw
26,15,18,2,4,4,Stick,15,Loss
27,25,20,3,2,10,Hit,15,Loss
28,21,26,2,4,10,Stick,21,Win
29,21,22,3,4,2,Hit Stick,11 21,Win
30,23,12,4,2,10,Hit Hit,9 13,Loss
31,17,24,2,3,5,Stick,17,Win
32,20,20,3,3,10,Hit Stick,10 20,Draw
33,16,21,2,4,1,Stick,16,Loss
34,12,24,2,3,4,Stick,12,Win
35,14,25,3,4,4,Hit Stick,14 14,Win
36,20,17,2,2,9,Stick,20,Win
37,17,25,3,4,5,Hit Stick,7 17,Win
38,23,16,3,2,1,Hit,13,Loss
39,16,17,2,4,3,Stick,16,Loss
40,14,24,2,4,2,Stick,14,Win
41,19,18,2,2,7,Stick,19,Win
42,25,20,3,2,10,Hit,15,Loss
43,21,21,3,2,1,Hit Stick,12 21,Draw
44,21,20,5,2,10,Hit Hit Hit Stick,12 14 17 21,Win
45,18,21,3,2,10,Hit Stick,17 18,Loss
