Game,PlayerFinalHandSum,DealerFinalHandSum,PlayerNumCards,DealerNumCards,DealerVisibleCard,PlayerActions,PlayerHandProgression,Outcome
1,26,19,4,2,10,Hit Hit,11 16,Loss
2,21,18,3,2,10,Hit Stick,10 21,Win
3,13,23,2,3,8,Stick,13,Win
4,20,17,3,2,7,Hit Stick,10 20,Win
5,16,21,3,3,5,Hit Stick,6 16,Loss
6,19,21,3,2,10,Hit Stick,16 19,Loss
7,24,19,5,2,10,Hit Hit Hit,12 13 14,Loss
8,23,19,3,2,10,Hit,13,Loss
9,21,19,2,2,9,Stick,21,Win
10,16,23,3,6,2,Hit Stick,7 16,Win
11,19,20,3,3,7,Hit Stick,9 19,Loss
12,21,20,3,2,10,Hit Stick,11 21,Win
13,20,18,2,3,5,Stick,20,Win
14,15,24,2,5,4,Stick,15,Win
15,21,19,4,2,9,Hit Hit Stick,12 18 21,Win
16,20,22,2,5,4,Stick,20,Win
17,16,19,2,3,9,Stick,16,Loss
18,15,19,2,3,7,Stick,15,Loss
19,11,17,2,3,4,Stick,11,Loss
20,20,17,2,4,8,Stick,20,Win
21,16,17,2,2,6,Stick,16,Loss
22,21,19,3,2,9,Hit Stick,10 21,Win
23,17,24,2,4,6,Stick,17,Win
24,14,21,3,3,7,Hit Stick,15 14,Loss
25,14,25,2,4,2,Stick,14,Win
26,20,20,4,2,10,Hit Hit Stick,7 10 20,Win
27,26,21,3,2,10,Hit,18,Loss
28,19,18,2,3,7,Stick,19,Win
29,20,21,2,3,7,Stick,20,Loss
30,13,21,3,3,5,Hit Stick,5 13,Loss
31,20,20,3,2,10,Hit Stick,13 20,Win
32,17,21,2,4,2,Stick,17,Loss
33,20,17,2,3,2,Stick,20,Win
34,19,25,4,3,6,Hit Hit Stick,7 11 19,Win
35,17,23,3,4,5,Hit Stick,8 17,Win
36,16,25,2,4,4,Stick,16,Win
37,15,20,2,3,8,Stick,15,Loss
38,20,26,2,3,10,Stick,20,Win
39,21,21,2,2,10,Stick,21,Win
40,17,17,3,2,7,Hit Stick,8 17,Win
41,20,18,3,4,1,Hit Stick,11 20,Win
42,16,23,2,3,4,Stick,16,Win
43,21,20,3,4,5,Hit Stick,10 21,Win
44,28,20,4,2,10,Hit Hit,11 18,Loss
45,6,20,2,2,10,Stick,6,Loss
46,12,21,2,2,10,Stick,12,Loss
47,20,20,3,2,10,Hit Stick,17 20,Win
48,19,25,2,5,2,Stick,19,Win
49,18,24,2,5,1,Stick,18,Win
50,27,20,5,2,10,Hit Hit Hit,9 13 19,Loss
51,18,23,3,3,8,Hit Stick,12 18,Win
52,13,21,2,2,10,Stick,13,Loss
53,21,20,3,2,10,Hit Stick,13 21,Win
54,24,7,3,2,3,Hit,15,Loss
55,7,22,2,3,3,Stick,7,Win
56,25,20,5,2,9,Hit Hit Hit,10 17 18,Loss
57,12,18,2,2,1,Stick,12,Loss
58,26,9,3,2,5,Hit,16,Loss
59,15,25,2,3,5,Stick,15,Win
60,12,18,2,3,10,Stick,12,Loss
61,16,19,2,3,4,Stick,16,Loss
62,21,20,3,2,10,Hit Stick,15 21,Win
63,17,20,2,3,2,Stick,17,Loss
64,17,21,4,4,1,Hit Hit Stick,6 17 17,Loss
65,15,18,3,3,8,Hit Stick,7 15,Loss
66,20,26,3,4,3,Hit Stick,14 20,Win
67,18,20,5,2,10,Hit Hit Hit Stick,12 14 18 18,Loss
68,24,21,3,2,10,Hit,18,Loss
69,25,20,3,2,10,Hit,18,Loss
70,21,19,4,2,10,Hit Hit Stick,14 16 21,Win
71,14,17,2,3,3,Stick,14,Loss
72,19,18,2,3,10,Stick,19,Win
73,17,25,2,3,10,Stick,17,Win
74,19,19,2,3,5,Stick,19,Win
75,22,9,3,2,7,Hit,12,Loss
76,21,20,2,3,8,Stick,21,Win
77,20,19,5,4,3,Hit Hit Hit Stick,15 16 16 20,Win
78,13,21,2,2,1,Stick,13,Loss
79,14,18,2,3,10,Stick,14,Loss
80,20,21,3,2,10,Hit Stick,19 20,Loss
81,19,19,2,2,9,Stick,19,Win
82,18,20,2,3,7,Stick,18,Loss
83,19,23,3,4,8,Hit Stick,9 19,Win
84,19,19,2,2,9,Stick,19,Win
85,16,26,3,4,3,Hit Stick,13 16,Win
86,12,20,2,3,10,Stick,12,Loss
87,18,17,3,2,1,Hit Stick,15 18,Win
88,13,17,3,3,5,Hit Stick,4 13,Loss
89,18,26,2,3,6,Stick,18,Win
90,18,18,3,2,8,Hit Stick,17 18,Win
91,13,24,2,3,4,Stick,13,Win
92,20,26,2,4,2,Stick,20,Win
93,21,24,3,3,9,Hit Stick,16 21,Win
94,23,21,4,2,10,Hit Hit,13 17,Loss
95,18,24,3,3,10,Hit Stick,11 18,Win
96,21,17,3,3,1,Hit Stick,11 21,Win
97,17,19,2,3,3,Stick,17,Loss
98,15,26,2,4,6,Stick,15,Win
99,22,20,3,2,10,Hit,13,Loss
100,20,19,5,2,9,Hit Hit Hit Stick,14 14 16 20,Win
101,20,25,2,3,10,Stick,20,Win
102,18,19,3,3,4,Hit Stick,13 18,Loss
103,19,18,3,2,10,Hit Stick,9 19,Win
104,28,20,4,2,10,Hit Hit,17 18,Loss
105,17,23,2,5,2,Stick,17,Win
106,17,18,3,3,6,Hit Stick,7 17,Loss
107,20,17,2,2,7,Stick,20,Win
108,17,22,2,3,9,Stick,17,Win
109,22,13,3,2,2,Hit,12,Loss
110,22,20,3,2,10,Hit,12,Loss
111,19,17,3,2,10,Hit Stick,9 19,Win
112,11,21,2,2,10,Stick,11,Loss
113,20,19,2,3,2,Stick,20,Win
114,14,22,2,3,2,Stick,14,Win
115,19,24,4,4,2,Hit Hit Stick,14 15 19,Win
116,26,20,4,2,10,Hit Hit,12 17,Loss
117,19,18,4,3,8,Hit Hit Stick,13 16 19,Win
118,17,18,2,3,6,Stick,17,Loss
119,10,21,2,2,1,Stick,10,Loss
120,15,17,2,3,10,Stick,15,Loss
121,21,26,3,3,6,Hit Stick,11 21,Win
122,26,17,4,2,9,Hit Hit,6 16,Loss
123,20,23,2,3,10,Stick,20,Win
124,22,21,4,2,10,Hit Hit,14 18,Loss
125,24,9,3,2,4,Hit,16,Loss
126,20,18,3,3,2,Hit Stick,15 20,Win
127,23,20,4,2,10,Hit Hit,15 17,Loss
128,19,18,2,3,3,Stick,19,Win
129,15,17,2,3,3,Stick,15,Loss
130,21,21,2,5,9,Stick,21,Win
131,17,17,3,2,1,Hit Stick,15 17,Win
132,13,19,2,3,8,Stick,13,Loss
133,18,20,2,4,3,Stick,18,Loss
134,15,18,2,3,3,Stick,15,Loss
135,20,20,3,2,10,Hit Stick,12 20,Win
136,12,19,2,3,4,Stick,12,Loss
137,28,20,4,2,10,Hit Hit,13 20,Loss
138,27,20,5,2,10,Hit Hit Hit,13 13 17,Loss
139,25,16,3,2,10,Hit,15,Loss
140,17,17,2,4,4,Stick,17,Win
141,20,18,2,2,10,Stick,20,Win
142,22,9,3,2,4,Hit,13,Loss
143,20,20,2,2,9,Stick,20,Win
144,21,18,3,3,2,Hit Stick,11 21,Win
145,17,26,2,3,6,Stick,17,Win
146,6,21,2,2,1,Stick,6,Loss
147,23,20,3,2,10,Hit,14,Loss
148,21,26,2,3,7,Stick,21,Win
149,14,17,2,4,5,Stick,14,Loss
150,16,24,2,4,4,Stick,16,Win
151,23,17,4,2,10,Hit Hit,8 14,Loss
152,16,18,3,3,10,Hit Stick,6 16,Loss
153,27,21,3,2,10,Hit,17,Loss
154,17,17,2,3,4,Stick,17,Win
155,18,21,2,3,6,Stick,18,Loss
156,16,19,2,3,4,Stick,16,Loss
157,24,7,5,2,5,Hit Hit Hit,8 11 14,Loss
158,20,18,2,2,8,Stick,20,Win
159,21,20,3,2,9,Hit Stick,16 21,Win
160,15,22,2,3,2,Stick,15,Win
161,18,23,2,4,1,Stick,18,Win
162,15,24,2,3,10,Stick,15,Win
163,20,17,3,3,6,Hit Stick,10 20,Win
164,21,19,3,2,9,Hit Stick,13 21,Win
165,21,18,3,4,10,Hit Stick,17 21,Win
166,15,21,2,4,2,Stick,15,Loss
167,22,16,3,2,6,Hit,13,Loss
168,19,21,2,2,1,Stick,19,Loss
169,19,18,2,3,10,Stick,19,Win
170,13,19,3,4,7,Hit Stick,15 13,Loss
171,20,17,2,2,7,Stick,20,Win
172,24,6,3,2,3,Hit,14,Loss
173,15,24,2,5,5,Stick,15,Win
174,18,24,2,3,4,Stick,18,Win
175,25,20,4,2,10,Hit Hit,12 17,Loss
176,18,18,2,2,1,Stick,18,Win
177,22,20,3,2,10,Hit,13,Loss
178,29,20,3,2,10,Hit,19,Loss
179,8,22,2,3,2,Stick,8,Win
180,19,18,3,3,7,Hit Stick,10 19,Win
181,23,6,3,2,2,Hit,15,Loss
182,27,20,6,2,10,Hit Hit Hit Hit,9 13 16 17,Loss
183,28,20,4,2,9,Hit Hit,13 18,Loss
184,20,18,2,2,10,Stick,20,Win
185,17,18,2,3,2,Stick,17,Loss
186,19,17,3,3,4,Hit Stick,12 19,Win
187,17,20,4,3,2,Hit Hit Stick,13 16 17,Loss
188,16,22,2,3,6,Stick,16,Win
189,18,17,2,3,3,Stick,18,Win
190,21,18,3,3,10,Hit Stick,11 21,Win
191,13,23,2,4,10,Stick,13,Win
192,18,17,3,2,9,Hit Stick,9 18,Win
193,13,17,2,3,3,Stick,13,Loss
194,21,20,2,4,5,Stick,21,Win
195,21,24,2,3,10,Stick,21,Win
196,22,17,3,2,10,Hit,16,Loss
197,21,17,3,2,6,Hit Stick,11 21,Win
198,23,8,4,2,2,Hit Hit,13 14,Loss
199,21,18,3,3,2,Hit Stick,11 21,Win
200,17,19,3,2,1,Hit Stick,12 17,Loss
201,20,17,4,3,4,Hit Hit Stick,11 16 20,Win
202,17,23,2,3,3,Stick,17,Win
203,26,19,3,2,9,Hit,16,Loss
204,19,19,3,2,10,Hit Stick,16 19,Win
205,17,17,3,4,7,Hit Stick,15 17,Win
206,18,22,3,3,7,Hit Stick,15 18,Win
207,20,17,2,3,4,Stick,20,Win
208,21,22,2,3,5,Stick,21,Win
209,17,24,3,3,8,Hit Stick,7 17,Win
210,21,19,3,2,1,Hit Stick,13 21,Win
211,18,21,3,3,5,Hit Stick,8 18,Loss
212,19,19,3,2,10,Hit Stick,9 19,Win
213,13,21,2,2,1,Stick,13,Loss
214,24,19,3,2,9,Hit,15,Loss
215,14,22,2,3,2,Stick,14,Win
216,26,19,4,2,8,Hit Hit,13 16,Loss
217,21,22,2,3,4,Stick,21,Win
218,19,18,3,3,6,Hit Stick,15 19,Win
219,17,26,2,4,10,Stick,17,Win
220,16,19,2,3,6,Stick,16,Loss
221,18,26,3,5,8,Hit Stick,8 18,Win
222,24,18,3,2,10,Hit,17,Loss
223,18,20,4,3,8,Hit Hit Stick,14 15 18,Loss
224,11,18,2,3,3,Stick,11,Loss
225,16,23,2,3,10,Stick,16,Win
226,22,20,3,2,10,Hit,12,Loss
227,19,20,2,3,1,Stick,19,Loss
228,14,18,3,3,4,Hit Stick,11 14,Loss
229,17,24,2,3,10,Stick,17,Win
230,17,19,3,3,6,Hit Stick,13 17,Loss
231,19,19,2,2,9,Stick,19,Win
232,20,18,3,2,10,Hit Stick,13 20,Win
233,21,21,2,2,10,Stick,21,Win
234,16,17,2,3,7,Stick,16,Loss
235,13,22,4,5,1,Hit Hit Stick,13 15 13,Win
236,18,18,4,2,10,Hit Hit Stick,9 15 18,Win
237,17,25,3,4,5,Hit Stick,7 17,Win
238,16,26,2,4,10,Stick,16,Win
239,20,19,2,2,9,Stick,20,Win
240,22,20,3,2,10,Hit,13,Loss
241,17,17,3,5,1,Hit Stick,7 17,Win
242,23,20,4,2,10,Hit Hit,9 13,Loss
243,21,24,2,3,4,Stick,21,Win
244,22,15,3,2,8,Hit,12,Loss
245,16,21,2,3,5,Stick,16,Loss
246,9,20,2,3,3,Stick,9,Loss
247,25,18,3,2,10,Hit,16,Loss
248,15,25,2,3,10,Stick,15,Win
