Game,PlayerFinalHandSum,DealerFinalHandSum,PlayerNumCards,DealerNumCards,DealerVisibleCard,PlayerActions,PlayerHandProgression,Outcome
1,20,20,2,3,9,Stick,20,Win
2,17,26,4,4,1,Hit Hit Stick,13 14 17,Win
3,24,17,3,2,7,Hit,14,Loss
4,18,17,2,3,1,Stick,18,Win
5,17,19,2,3,4,Stick,17,Loss
6,19,20,2,4,6,Stick,19,Loss
7,17,22,2,3,3,Stick,17,Win
8,18,26,2,4,10,Stick,18,Win
9,18,22,3,4,2,Hit Stick,21 18,Win
10,25,11,3,2,9,Hit,15,Loss
11,21,18,2,2,10,Stick,21,Win
12,18,23,2,4,10,Stick,18,Win
13,16,18,4,3,3,Hit Hit Stick,5 9 16,Loss
14,14,26,2,4,4,Stick,14,Win
15,18,18,2,2,9,Stick,18,Win
16,21,26,4,4,4,Hit Hit Stick,14 15 21,Win
17,20,20,2,2,10,Stick,20,Win
18,19,20,4,2,10,Hit Hit Stick,15 17 19,Loss
19,21,20,2,3,5,Stick,21,Win
20,17,22,2,3,5,Stick,17,Win
21,16,22,3,3,7,Hit Stick,8 16,Win
22,24,20,4,2,10,Hit Hit,9 15,Loss
23,13,17,3,3,2,Hit Stick,12 13,Loss
24,21,22,2,4,4,Stick,21,Win
25,26,21,3,2,10,Hit,16,Loss
26,14,19,2,4,3,Stick,14,Loss
27,20,20,3,2,10,Hit Stick,12 20,Win
28,15,23,2,3,6,Stick,15,Win
29,21,24,3,3,9,Hit Stick,14 21,Win
30,18,17,3,2,10,Hit Stick,14 18,Win
31,25,20,3,2,10,Hit,17,Loss
32,20,19,3,2,1,Hit Stick,15 20,Win
33,20,21,2,2,10,Stick,20,Loss
34,21,25,2,4,7,Stick,21,Win
35,18,17,2,5,2,Stick,18,Win
36,21,18,2,3,3,Stick,21,Win
37,23,20,3,2,10,Hit,17,Loss
38,21,21,3,2,10,Hit Stick,15 21,Win
39,17,18,3,3,5,Hit Stick,13 17,Loss
