Game,PlayerFinalHandSum,DealerFinalHandSum,PlayerNumCards,DealerNumCards,DealerVisibleCard,PlayerActions,PlayerHandProgression,Outcome
1,17,19,2,3,6,Stick,17,Loss
2,19,18,2,4,5,Stick,19,Win
3,20,19,2,2,10,Stick,20,Win
4,27,20,3,2,10,Hit,18,Loss
5,14,17,5,3,9,Hit Hit Hit Stick,6 9 13 14,Loss
6,14,23,2,3,8,Stick,14,Win
7,15,20,3,3,2,Hit Stick,12 15,Loss
8,16,17,2,3,3,Stick,16,Loss
9,20,20,4,2,10,Hit Hit Stick,11 13 20,Draw
10,23,20,3,2,10,Hit,18,Loss
11,25,17,3,2,1,Hit,15,Loss
12,19,17,2,3,8,Stick,19,Win
13,19,24,3,4,1,Hit Stick,11 19,Win
14,21,20,3,2,10,Hit Stick,15 21,Win
15,18,18,2,3,3,Stick,18,Draw
16,16,17,2,3,4,Stick,16,Loss
17,21,18,2,2,8,Stick,21,Win
18,24,7,3,2,2,Hit,14,Loss
19,20,21,2,3,3,Stick,20,Loss
20,14,20,2,3,10,Stick,14,Loss
21,22,9,3,2,3,Hit,13,Loss
22,19,19,3,3,6,Hit Stick,11 19,Draw
23,20,17,3,2,8,Hit Stick,14 20,Win
24,22,20,3,2,9,Hit,12,Loss
25,16,22,3,4,3,Hit Stick,7 16,Win
26,14,22,2,3,10,Stick,14,Win
27,20,18,6,2,8,Hit Hit Hit Hit Stick,14 12 13 15 20,Win
28,13,17,2,3,2,Stick,13,Loss
29,17,17,2,2,7,Stick,17,Draw
30,16,23,3,4,3,Hit Stick,6 16,Win
31,16,21,2,4,5,Stick,16,Loss
32,17,23,3,3,3,Hit Stick,13 17,Win
33,20,20,3,2,10,Hit Stick,9 20,Draw
34,20,20,2,2,10,Stick,20,Draw
35,18,21,2,2,10,Stick,18,Loss
36,24,9,4,2,7,Hit Hit,8 14,Loss
37,17,20,3,2,10,Hit Stick,6 17,Loss
38,26,20,4,2,1,Hit Hit,14 16,Loss
39,22,16,3,2,6,Hit,14,Loss
40,15,21,2,4,3,Stick,15,Loss
41,14,22,3,4,3,Hit Stick,11 14,Win
42,21,17,2,2,7,Stick,21,Win
43,19,19,2,2,10,Stick,19,Draw
44,16,17,2,2,7,Stick,16,Loss
45,27,20,3,2,10,Hit,18,Loss
46,20,17,2,4,10,Stick,20,Win
47,24,19,3,2,8,Hit,15,Loss
48,14,25,2,3,9,Stick,14,Win
49,22,21,4,2,1,Hit Hit,9 12,Loss
50,22,17,4,2,10,Hit Hit,12 16,Loss
51,18,18,2,4,1,Stick,18,Draw
