Game,PlayerFinalHandSum,DealerFinalHandSum,PlayerNumCards,DealerNumCards,DealerVisibleCard,PlayerActions,PlayerHandProgression,Outcome
1,19,19,2,3,2,Stick,19,Draw
2,20,21,2,3,6,Stick,20,Loss
3,27,20,4,2,10,Hit Hit,17 17,Loss
4,22,15,4,2,8,Hit Hit,7 12,Loss
5,24,7,4,2,4,Hit Hit,14 14,Loss
6,12,21,2,3,6,Stick,12,Loss
7,15,20,3,3,4,Hit Stick,8 15,Loss
8,13,17,2,3,10,Stick,13,Loss
9,20,20,3,3,6,Hit Stick,10 20,Draw
10,25,11,3,2,7,Hit,15,Loss
11,20,24,3,3,10,Hit Stick,10 20,Win
12,16,21,2,3,4,Stick,16,Loss
13,20,20,3,3,7,Hit Stick,10 20,Draw
14,25,21,3,2,10,Hit,19,Loss
15,12,19,2,4,4,Stick,12,Loss
16,24,16,6,2,7,Hit Hit Hit Hit,16 12 13 14,Loss
17,29,20,3,2,10,Hit,19,Loss
18,23,12,3,2,2,Hit,13,Loss
19,21,20,4,2,10,Hit Hit Stick,13 19 21,Win
20,21,17,4,2,8,Hit Hit Stick,9 14 21,Win
21,20,25,2,3,7,Stick,20,Win
22,17,17,2,2,10,Stick,17,Draw
23,20,20,2,2,10,Stick,20,Draw
24,16,23,2,4,8,Stick,16,Win
25,20,18,3,2,9,Hit Stick,12 20,Win
26,25,10,3,2,7,Hit,15,Loss
27,19,18,3,5,4,Hit Stick,14 19,Win
28,20,18,5,2,1,Hit Hit Hit Stick,8 11 15 20,Win
29,16,17,2,4,2,Stick,16,Loss
30,18,26,2,4,10,Stick,18,Win
31,20,17,3,2,10,Hit Stick,13 20,Win
32,20,18,3,2,10,Hit Stick,10 20,Win
33,21,17,3,2,9,Hit Stick,12 21,Win
34,15,24,2,3,10,Stick,15,Win
35,18,25,2,4,3,Stick,18,Win
36,18,17,4,2,7,Hit Hit Stick,10 14 18,Win
37,20,19,3,3,5,Hit Stick,10 20,Win
38,21,17,4,4,1,Hit Hit Stick,5 11 21,Win
39,23,17,3,2,10,Hit,13,Loss
40,19,19,2,2,9,Stick,19,Draw
41,28,21,4,2,1,Hit Hit,15 18,Loss
42,26,17,3,2,8,Hit,16,Loss
43,16,26,2,5,10,Stick,16,Win
44,17,20,2,3,5,Stick,17,Loss
45,17,18,4,3,2,Hit Hit Stick,16 13 17,Loss
46,20,21,5,2,1,Hit Hit Hit Stick,11 13 17 20,Loss
47,18,19,2,3,4,Stick,18,Loss
48,25,20,3,2,10,Hit,19,Loss
49,21,20,3,2,10,Hit Stick,14 21,Win
50,14,22,3,3,9,Hit Stick,13 14,Win
51,15,24,2,4,3,Stick,15,Win
52,16,22,2,5,4,Stick,16,Win
53,18,23,3,4,8,Hit Stick,9 18,Win
54,21,19,3,3,5,Hit Stick,11 21,Win
55,19,21,4,2,1,Hit Hit Stick,13 19 19,Loss
56,25,21,4,2,10,Hit Hit,13 18,Loss
57,28,20,3,2,10,Hit,19,Loss
58,17,26,2,3,6,Stick,17,Win
59,28,20,3,2,10,Hit,18,Loss
60,16,20,3,3,3,Hit Stick,14 16,Loss
61,21,21,3,3,1,Hit Stick,11 21,Draw
62,16,19,2,3,5,Stick,16,Loss
63,16,18,2,3,6,Stick,16,Loss
64,17,18,3,4,3,Hit Stick,13 17,Loss
65,28,20,4,2,10,Hit Hit,15 18,Loss
66,14,22,2,3,10,Stick,14,Win
67,15,19,2,3,4,Stick,15,Loss
68,26,21,3,2,1,Hit,17,Loss
69,21,23,2,3,8,Stick,21,Win
70,21,18,2,3,2,Stick,21,Win
71,20,19,2,3,5,Stick,20,Win
72,19,17,2,2,7,Stick,19,Win
73,18,18,3,2,1,Hit Stick,8 18,Draw
74,21,19,2,3,8,Stick,21,Win
75,16,23,2,4,4,Stick,16,Win
76,21,19,2,2,9,Stick,21,Win
77,27,20,4,2,10,Hit Hit,14 19,Loss
78,20,19,2,3,9,Stick,20,Win
79,21,20,2,3,10,Stick,21,Win
80,17,24,4,3,8,Hit Hit Stick,9 11 17,Win
81,19,20,2,3,10,Stick,19,Loss
82,21,21,3,3,4,Hit Stick,10 21,Draw
83,21,26,2,4,9,Stick,21,Win
84,22,18,3,2,10,Hit,12,Loss
85,13,18,2,3,5,Stick,13,Loss
86,21,23,3,5,3,Hit Stick,14 21,Win
87,27,21,3,2,1,Hit,17,Loss
88,17,17,2,2,1,Stick,17,Draw
89,23,20,4,2,10,Hit Hit,15 17,Loss
90,19,17,3,2,10,Hit Stick,12 19,Win
91,16,23,2,4,1,Stick,16,Win
92,17,23,4,3,5,Hit Hit Stick,11 12 17,Win
93,21,17,3,4,2,Hit Stick,14 21,Win
94,18,18,2,2,10,Stick,18,Draw
95,21,21,3,2,1,Hit Stick,11 21,Draw
96,18,21,3,2,1,Hit Stick,9 18,Loss
97,16,22,2,3,10,Stick,16,Win
98,22,17,4,2,10,Hit Hit,12 16,Loss
99,20,17,2,3,6,Stick,20,Win
100,18,22,2,3,10,Stick,18,Win
101,16,20,4,3,2,Hit Hit Stick,14 15 16,Loss
102,20,22,2,3,10,Stick,20,Win
103,16,24,3,4,3,Hit Stick,15 16,Win
104,18,17,3,4,2,Hit Stick,15 18,Win
105,19,21,2,4,4,Stick,19,Loss
106,17,17,3,2,10,Hit Stick,10 17,Draw
107,19,23,2,4,8,Stick,19,Win
108,20,21,2,2,1,Stick,20,Loss
109,15,24,2,3,4,Stick,15,Win
110,16,22,3,3,8,Hit Stick,6 16,Win
111,22,18,3,2,7,Hit,12,Loss
112,15,23,3,4,3,Hit Stick,13 15,Win
113,21,20,2,2,10,Stick,21,Win
114,18,19,4,3,7,Hit Hit Stick,11 12 18,Loss
115,24,18,3,2,10,Hit,14,Loss
116,27,21,3,2,10,Hit,17,Loss
117,18,17,3,3,3,Hit Stick,11 18,Win
118,20,26,2,3,10,Stick,20,Win
119,20,20,2,3,8,Stick,20,Draw
120,21,21,3,5,2,Hit Stick,11 21,Draw
121,20,20,2,2,10,Stick,20,Draw
122,16,24,2,3,4,Stick,16,Win
123,22,18,3,2,8,Hit,17,Loss
124,21,20,2,4,10,Stick,21,Win
125,19,20,3,3,7,Hit Stick,11 19,Loss
126,15,25,3,4,4,Hit Stick,11 15,Win
127,19,21,5,3,3,Hit Hit Hit Stick,11 12 13 19,Loss
128,6,23,2,3,10,Stick,6,Win
129,23,20,3,2,9,Hit,13,Loss
130,23,15,3,2,1,Hit,13,Loss
131,23,15,4,2,9,Hit Hit,5 13,Loss
132,19,26,2,4,8,Stick,19,Win
133,24,21,4,2,10,Hit Hit,13 18,Loss
134,19,17,3,2,10,Hit Stick,14 19,Win
135,21,17,3,2,8,Hit Stick,14 21,Win
136,17,24,2,3,7,Stick,17,Win
137,22,17,4,2,10,Hit Hit,16 12,Loss
138,29,20,5,2,10,Hit Hit Hit,6 9 19,Loss
139,17,17,4,3,2,Hit Hit Stick,11 14 17,Draw
140,20,24,3,3,10,Hit Stick,15 20,Win
141,16,17,3,2,1,Hit Stick,14 16,Loss
142,29,20,4,2,10,Hit Hit,16 19,Loss
143,18,18,2,4,9,Stick,18,Draw
144,14,17,3,3,5,Hit Stick,5 14,Loss
145,23,12,3,2,4,Hit,13,Loss
146,16,26,2,4,3,Stick,16,Win
147,22,16,3,2,5,Hit,12,Loss
148,24,18,3,2,10,Hit,14,Loss
149,17,20,2,4,10,Stick,17,Loss
150,19,17,2,2,10,Stick,19,Win
151,17,22,2,3,10,Stick,17,Win
152,14,26,3,3,6,Hit Stick,15 14,Win
153,15,19,2,3,10,Stick,15,Loss
154,12,23,2,4,10,Stick,12,Win
155,15,24,2,3,6,Stick,15,Win
156,21,18,2,2,10,Stick,21,Win
157,16,22,3,3,6,Hit Stick,5 16,Win
158,20,20,3,2,10,Hit Stick,17 20,Draw
159,18,21,2,3,10,Stick,18,Loss
160,16,25,2,3,10,Stick,16,Win
161,18,23,2,3,4,Stick,18,Win
162,15,21,3,3,10,Hit Stick,13 15,Loss
163,22,18,3,2,7,Hit,12,Loss
164,15,25,2,4,2,Stick,15,Win
165,21,19,4,3,4,Hit Hit Stick,6 11 21,Win
166,21,17,2,3,10,Stick,21,Win
167,20,20,2,2,1,Stick,20,Draw
168,17,24,3,3,6,Hit Stick,12 17,Win
169,18,18,2,2,9,Stick,18,Draw
170,21,23,2,4,2,Stick,21,Win
171,17,18,2,2,1,Stick,17,Loss
172,19,18,4,2,10,Hit Hit Stick,10 17 19,Win
173,20,24,2,4,5,Stick,20,Win
174,20,23,2,3,6,Stick,20,Win
175,19,26,2,3,10,Stick,19,Win
176,12,24,2,3,10,Stick,12,Win
177,15,17,2,3,2,Stick,15,Loss
178,29,20,4,2,10,Hit Hit,11 19,Loss
179,17,18,2,2,1,Stick,17,Loss
180,16,17,4,4,3,Hit Hit Stick,11 14 16,Loss
181,21,19,3,2,9,Hit Stick,11 21,Win
182,15,21,3,4,6,Hit Stick,15 15,Loss
183,16,23,3,3,10,Hit Stick,17 16,Win
184,23,12,3,2,7,Hit,13,Loss
185,14,24,2,4,9,Stick,14,Win
186,19,26,3,5,7,Hit Stick,12 19,Win
187,21,23,2,3,8,Stick,21,Win
188,19,18,3,2,9,Hit Stick,9 19,Win
189,20,20,2,4,1,Stick,20,Draw
190,21,20,4,2,10,Hit Hit Stick,13 16 21,Win
191,23,20,3,2,10,Hit,15,Loss
192,17,25,3,4,2,Hit Stick,10 17,Win
193,22,15,3,2,6,Hit,12,Loss
194,18,23,3,3,5,Hit Stick,11 18,Win
195,21,18,5,2,10,Hit Hit Hit Stick,8 10 17 21,Win
196,16,20,3,3,10,Hit Stick,16 16,Loss
197,17,18,3,3,3,Hit Stick,15 17,Loss
198,9,20,2,3,10,Stick,9,Loss
199,19,20,2,3,6,Stick,19,Loss
200,27,20,4,2,10,Hit Hit,14 17,Loss
201,15,19,2,3,10,Stick,15,Loss
202,20,20,3,2,10,Hit Stick,10 20,Draw
203,24,12,3,2,5,Hit,14,Loss
204,17,17,2,2,10,Stick,17,Draw
205,17,19,3,3,10,Hit Stick,12 17,Loss
206,16,18,2,3,6,Stick,16,Loss
207,22,19,3,2,10,Hit,14,Loss
208,14,22,3,3,9,Hit Stick,10 14,Win
209,20,18,3,4,4,Hit Stick,11 20,Win
210,19,22,2,3,10,Stick,19,Win
211,14,18,2,3,3,Stick,14,Loss
212,20,18,4,3,8,Hit Hit Stick,13 13 20,Win
213,24,20,4,2,10,Hit Hit,11 16,Loss
214,20,18,2,3,10,Stick,20,Win
215,21,23,2,3,10,Stick,21,Win
216,14,22,3,3,10,Hit Stick,11 14,Win
217,26,21,3,2,10,Hit,16,Loss
218,20,17,2,4,7,Stick,20,Win
219,20,18,3,2,9,Hit Stick,17 20,Win
220,19,24,3,4,2,Hit Stick,13 19,Win
221,20,19,2,3,5,Stick,20,Win
222,21,21,2,3,6,Stick,21,Draw
223,18,21,2,4,4,Stick,18,Loss
224,19,20,3,3,5,Hit Stick,21 19,Loss
225,20,19,3,2,10,Hit Stick,9 20,Win
226,13,26,2,4,10,Stick,13,Win
227,13,20,2,3,4,Stick,13,Loss
228,21,20,4,2,10,Hit Hit Stick,4 13 21,Win
229,24,19,3,2,10,Hit,17,Loss
230,20,24,3,3,8,Hit Stick,10 20,Win
231,21,18,2,3,8,Stick,21,Win
232,20,20,2,3,10,Stick,20,Draw
233,21,19,3,4,10,Hit Stick,15 21,Win
234,24,21,3,2,10,Hit,15,Loss
235,25,20,4,2,10,Hit Hit,15 19,Loss
236,25,7,3,2,2,Hit,15,Loss
237,16,18,2,3,6,Stick,16,Loss
238,22,20,6,2,10,Hit Hit Hit Hit,13 14 18 15,Loss
239,17,21,2,3,5,Stick,17,Loss
240,21,20,2,2,10,Stick,21,Win
241,18,21,2,3,8,Stick,18,Loss
242,18,18,3,3,6,Hit Stick,12 18,Draw
243,21,25,2,4,2,Stick,21,Win
244,14,23,2,3,5,Stick,14,Win
245,21,21,4,3,6,Hit Hit Stick,7 11 21,Draw
246,16,23,2,3,3,Stick,16,Win
247,27,18,5,2,8,Hit Hit Hit,8 11 17,Loss
248,14,21,3,3,5,Hit Stick,13 14,Loss
249,23,17,3,2,7,Hit,14,Loss
250,20,18,3,2,1,Hit Stick,13 20,Win
251,20,18,2,2,8,Stick,20,Win
252,20,17,3,3,6,Hit Stick,12 20,Win
253,17,19,3,3,7,Hit Stick,12 17,Loss
254,20,17,2,2,10,Stick,20,Win
255,15,26,2,5,10,Stick,15,Win
256,18,20,4,3,8,Hit Hit Stick,13 14 18,Loss
257,19,19,2,2,10,Stick,19,Draw
258,19,20,3,3,2,Hit Stick,12 19,Loss
259,25,20,5,2,10,Hit Hit Hit,8 11 16,Loss
260,23,15,3,2,9,Hit,13,Loss
261,16,17,2,5,6,Stick,16,Loss
262,12,23,2,3,10,Stick,12,Win
263,21,23,2,3,7,Stick,21,Win
264,17,18,2,4,4,Stick,17,Loss
265,19,17,2,2,7,Stick,19,Win
266,24,20,5,2,10,Hit Hit Hit,8 10 16,Loss
267,29,20,4,2,10,Hit Hit,9 19,Loss
268,23,20,4,2,10,Hit Hit,15 19,Loss
269,17,17,3,4,3,Hit Stick,8 17,Draw
270,21,19,4,2,9,Hit Hit Stick,18 16 21,Win
271,16,23,5,3,6,Hit Hit Hit Stick,13 15 15 16,Win
272,21,17,2,2,10,Stick,21,Win
273,20,17,2,2,9,Stick,20,Win
274,19,19,3,3,5,Hit Stick,9 19,Draw
275,17,20,2,3,4,Stick,17,Loss
276,20,21,2,4,3,Stick,20,Loss
277,19,25,3,3,10,Hit Stick,14 19,Win
278,20,17,4,2,7,Hit Hit Stick,8 10 20,Win
279,16,26,2,6,2,Stick,16,Win
280,20,18,4,2,10,Hit Hit Stick,16 17 20,Win
281,18,18,2,3,5,Stick,18,Draw
282,21,20,3,2,10,Hit Stick,14 21,Win
283,21,23,3,3,6,Hit Stick,16 21,Win
284,20,18,2,5,1,Stick,20,Win
285,12,25,2,3,5,Stick,12,Win
286,20,23,2,3,4,Stick,20,Win
287,21,18,3,2,8,Hit Stick,11 21,Win
288,21,19,3,2,10,Hit Stick,13 21,Win
289,12,22,2,3,4,Stick,12,Win
290,16,22,4,4,4,Hit Hit Stick,11 14 16,Win
291,21,22,2,3,6,Stick,21,Win
292,25,19,3,2,10,Hit,15,Loss
293,26,21,7,2,1,Hit Hit Hit Hit Hit,11 13 15 16 17,Loss
294,17,20,4,3,1,Hit Hit Stick,4 13 17,Loss
295,20,21,2,3,1,Stick,20,Loss
296,13,25,3,3,5,Hit Stick,10 13,Win
