Game,PlayerFinalHandSum,DealerFinalHandSum,PlayerNumCards,DealerNumCards,DealerVisibleCard,PlayerActions,PlayerHandProgression,Outcome
1,14,22,2,4,5,Stick,14,Win
2,18,18,2,3,7,Stick,18,Draw
3,13,22,2,3,6,Stick,13,Win
4,20,25,2,3,10,Stick,20,Win
5,18,19,2,3,5,Stick,18,Loss
6,27,20,4,2,1,Hit Hit,13 17,Loss
7,25,17,4,2,6,Hit Hit,5 15,Loss
8,22,21,3,2,10,Hit,12,Loss
9,21,20,2,2,10,Stick,21,Win
10,14,21,2,4,2,Stick,14,Loss
11,13,22,2,4,7,Stick,13,Win
12,15,18,3,3,10,Hit Stick,11 15,Loss
13,24,20,4,2,10,Hit Hit,9 15,Loss
14,15,22,2,4,3,Stick,15,Win
15,19,23,2,4,8,Stick,19,Win
16,21,22,2,3,10,Stick,21,Win
17,14,25,3,5,5,Hit Stick,11 14,Win
18,23,20,4,2,9,Hit Hit,13 19,Loss
19,17,26,2,3,6,Stick,17,Win
20,20,20,4,2,10,Hit Hit Stick,12 17 20,Draw
21,15,17,2,3,3,Stick,15,Loss
22,14,19,2,4,6,Stick,14,Loss
23,17,25,2,3,10,Stick,17,Win
24,19,19,2,2,10,Stick,19,Draw
25,18,21,2,3,5,Stick,18,Loss
26,14,21,2,4,10,Stick,14,Loss
27,17,18,2,3,6,Stick,17,Loss
28,20,18,2,2,10,Stick,20,Win
29,21,19,3,2,10,Hit Stick,12 21,Win
30,15,24,3,4,4,Hit Stick,5 15,Win
31,16,18,3,4,2,Hit Stick,16 16,Loss
32,14,20,2,3,3,Stick,14,Loss
33,19,19,2,3,5,Stick,19,Draw
34,24,19,3,2,8,Hit,14,Loss
35,15,21,2,3,6,Stick,15,Loss
36,23,20,3,2,10,Hit,17,Loss
37,20,18,4,2,10,Hit Hit Stick,8 10 20,Win
38,18,20,3,4,10,Hit Stick,11 18,Loss
39,13,20,2,3,3,Stick,13,Loss
40,21,24,4,3,4,Hit Hit Stick,15 16 21,Win
41,22,20,3,2,10,Hit,18,Loss
42,27,20,4,2,9,Hit Hit,12 17,Loss
43,16,24,2,3,7,Stick,16,Win
44,14,18,2,3,8,Stick,14,Loss
45,12,25,3,3,10,Hit Stick,12 12,Win
46,13,22,2,3,5,Stick,13,Win
47,18,20,3,3,10,Hit Stick,9 18,Loss
48,17,18,2,4,5,Stick,17,Loss
49,21,26,4,3,10,Hit Hit Stick,13 13 21,Win
50,12,23,2,3,9,Stick,12,Win
51,12,24,2,3,9,Stick,12,Win
52,16,19,2,3,5,Stick,16,Loss
53,20,21,2,6,3,Stick,20,Loss
54,16,23,2,4,3,Stick,16,Win
55,13,21,2,3,7,Stick,13,Loss
56,26,17,3,2,10,Hit,16,Loss
57,20,19,2,2,8,Stick,20,Win
58,21,20,3,2,10,Hit Stick,19 21,Win
59,14,18,2,3,10,Stick,14,Loss
60,24,20,3,2,10,Hit,16,Loss
61,15,18,4,3,5,Hit Hit Stick,7 10 15,Loss
62,21,21,4,2,10,Hit Hit Stick,16 17 21,Draw
63,21,18,2,2,10,Stick,21,Win
64,22,20,3,2,10,Hit,15,Loss
65,20,20,3,3,7,Hit Stick,12 20,Draw
66,21,19,3,2,10,Hit Stick,13 21,Win
67,14,20,3,3,8,Hit Stick,15 14,Loss
68,17,20,2,4,5,Stick,17,Loss
69,20,23,2,3,10,Stick,20,Win
70,16,21,3,2,1,Hit Stick,11 16,Loss
71,24,20,4,2,10,Hit Hit,4 14,Loss
72,13,19,2,4,7,Stick,13,Loss
73,17,17,2,6,6,Stick,17,Draw
74,12,24,2,3,4,Stick,12,Win
75,23,11,3,2,4,Hit,15,Loss
76,25,20,3,2,1,Hit,16,Loss
77,13,22,2,3,8,Stick,13,Win
78,12,26,2,3,6,Stick,12,Win
79,22,20,3,2,10,Hit,15,Loss
80,13,24,2,3,10,Stick,13,Win
81,24,17,3,2,10,Hit,14,Loss
82,17,17,3,2,10,Hit Stick,9 17,Draw
83,21,25,2,3,5,Stick,21,Win
84,14,23,2,4,10,Stick,14,Win
85,20,20,2,4,9,Stick,20,Draw
86,26,18,5,2,8,Hit Hit Hit,9 15 16,Loss
87,26,21,3,2,10,Hit,16,Loss
88,20,22,2,3,4,Stick,20,Win
89,19,23,2,6,3,Stick,19,Win
90,14,21,2,4,5,Stick,14,Loss
91,17,17,2,4,3,Stick,17,Draw
92,19,20,2,3,3,Stick,19,Loss
93,25,18,4,2,10,Hit Hit,16 16,Loss
94,14,19,2,4,7,Stick,14,Loss
95,19,23,2,3,6,Stick,19,Win
96,24,9,4,2,3,Hit Hit,13 14,Loss
97,15,20,2,3,10,Stick,15,Loss
98,13,22,2,3,5,Stick,13,Win
99,19,21,2,3,6,Stick,19,Loss
100,20,18,2,4,4,Stick,20,Win
101,15,17,2,4,2,Stick,15,Loss
102,20,19,3,2,9,Hit Stick,10 20,Win
103,13,18,2,3,10,Stick,13,Loss
104,13,20,2,3,6,Stick,13,Loss
105,7,18,2,3,7,Stick,7,Loss
106,24,20,4,2,1,Hit Hit,17 14,Loss
107,22,20,4,2,10,Hit Hit,17 18,Loss
108,18,26,2,4,2,Stick,18,Win
109,10,19,2,2,8,Stick,10,Loss
110,26,20,5,2,10,Hit Hit Hit,4 7 16,Loss
111,19,18,3,2,9,Hit Stick,16 19,Win
112,22,17,4,2,6,Hit Hit,13 14,Loss
113,12,21,2,3,10,Stick,12,Loss
114,18,20,3,3,6,Hit Stick,8 18,Loss
115,18,22,2,3,4,Stick,18,Win
116,20,24,2,4,5,Stick,20,Win
117,16,25,2,4,3,Stick,16,Win
118,21,17,2,2,6,Stick,21,Win
