Game,PlayerFinalHandSum,DealerFinalHandSum,PlayerNumCards,DealerNumCards,DealerVisibleCard,PlayerActions,PlayerHandProgression,Outcome
1,16,17,3,3,3,Hit Stick,7 16,Loss
2,17,18,2,3,10,Stick,17,Loss
3,14,23,3,3,7,Hit Stick,6 14,Win
4,15,17,2,3,2,Stick,15,Loss
5,23,20,4,2,10,Hit Hit,17 14,Loss
6,20,21,2,4,4,Stick,20,Loss
7,22,18,3,2,10,Hit,12,Loss
8,18,17,2,3,3,Stick,18,Win
9,16,23,2,4,3,Stick,16,Win
10,21,17,2,4,5,Stick,21,Win
11,20,21,2,2,10,Stick,20,Loss
12,23,18,3,2,8,Hit,17,Loss
13,21,23,3,5,2,Hit Stick,11 21,Win
14,24,19,4,2,9,Hit Hit,11 14,Loss
15,28,20,3,2,10,Hit,18,Loss
16,24,18,3,2,1,Hit,14,Loss
17,19,19,2,2,1,Stick,19,Draw
18,16,19,2,4,5,Stick,16,Loss
19,19,22,3,3,2,Hit Stick,12 19,Win
20,28,20,7,2,10,Hit Hit Hit Hit Hit,5 12 13 18 19,Loss
21,24,18,3,2,10,Hit,14,Loss
22,13,20,3,3,8,Hit Stick,9 13,Loss
23,20,17,3,2,7,Hit Stick,15 20,Win
24,21,20,4,2,10,Hit Hit Stick,16 17 21,Win
25,19,24,4,4,7,Hit Hit Stick,6 9 19,Win
26,22,18,4,2,10,Hit Hit,17 15,Loss
27,12,24,2,3,8,Stick,12,Win
28,12,18,2,3,10,Stick,12,Loss
29,19,20,3,3,6,Hit Stick,8 19,Loss
30,21,21,4,3,10,Hit Hit Stick,8 11 21,Draw
31,25,17,4,2,10,Hit Hit,5 15,Loss
32,21,26,3,3,10,Hit Stick,11 21,Win
33,20,19,3,2,1,Hit Stick,10 20,Win
34,19,17,2,2,9,Stick,19,Win
35,12,21,2,2,1,Stick,12,Loss
36,18,23,2,3,10,Stick,18,Win
37,12,25,2,3,7,Stick,12,Win
38,21,22,2,3,10,Stick,21,Win
39,20,19,5,3,6,Hit Hit Hit Stick,12 15 15 20,Win
40,18,21,2,3,6,Stick,18,Loss
41,23,18,3,2,8,Hit,14,Loss
42,17,20,2,4,1,Stick,17,Loss
43,15,24,2,3,7,Stick,15,Win
44,16,17,2,4,2,Stick,16,Loss
45,13,22,2,3,5,Stick,13,Win
46,19,18,2,2,10,Stick,19,Win
47,27,20,6,2,10,Hit Hit Hit Hit,14 15 15 17,Loss
48,21,17,2,4,9,Stick,21,Win
49,14,19,2,3,6,Stick,14,Loss
50,19,17,2,3,8,Stick,19,Win
51,16,25,2,3,10,Stick,16,Win
52,19,23,3,3,10,Hit Stick,10 19,Win
53,12,18,2,3,10,Stick,12,Loss
54,22,17,3,2,10,Hit,13,Loss
55,8,26,2,7,2,Stick,8,Win
56,18,22,2,3,4,Stick,18,Win
57,12,18,2,3,9,Stick,12,Loss
58,15,17,2,3,2,Stick,15,Loss
59,21,20,2,3,5,Stick,21,Win
60,19,17,3,2,10,Hit Stick,9 19,Win
61,20,17,2,3,4,Stick,20,Win
62,22,20,3,2,10,Hit,18,Loss
63,20,20,3,2,9,Hit Stick,12 20,Draw
64,15,24,2,3,10,Stick,15,Win
65,22,17,3,2,7,Hit,12,Loss
66,20,19,3,2,10,Hit Stick,17 20,Win
67,25,21,4,2,10,Hit Hit,12 15,Loss
68,19,20,2,5,8,Stick,19,Loss
